number_of_BBP,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names,Buzz,Burst-pulse
0,AV,SSF,CHAS,NC,11/07/2021,5,SSF,SCW6070_20210711_073300,0,0
0,AV+D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073400,0,0
0,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073500,0,0
0,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073600,0,0
0,D+AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073700,0,0
0,AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073800,0,0
0,AP+AV,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073900,0,0
0,AV+D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074000,0,0
0,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074100,0,0
0,D+AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074200,0,0
0,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_085800,0,0
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_085900,0,0
0,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090000,0,0
0,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090100,0,0
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090200,0,0
2,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_090500,1,1
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090600,0,0
0,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090700,0,0
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090800,0,0
1,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_091100,1,0
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091200,0,0
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091300,0,0
0,AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091400,0,0
0,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_091600,0,0
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091700,0,0
0,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_100500,0,0
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_100600,0,0
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_100700,0,0
1,AV,SSF,DEPL,NC,11/07/2020,12,SSF,SCW1807_20200711_082400,1,0
12,AV,SSF,DEPL,NC,11/07/2020,12,SSF,SCW1807_20200711_082500,10,2
0,AV,SSF,DEPL,NC,11/07/2020,12,SSF,SCW1807_20200711_082600,0,0
1,AV,SSF,CHAS,NC,11/07/2020,15,SSF,SCW1807_20200711_082700,1,0
1,AV,SSF,DEPL,NC,11/07/2020,4,SSF,SCW1807_20200711_083600,1,0
5,AV+D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083700,2,3
3,D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083800,1,2
3,D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083900,2,1
0,D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_084000,0,0
4,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084100,3,1
5,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084200,4,1
0,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084300,0,0
0,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084400,0,0
0,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084500,0,0
0,D+AP,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084600,0,0
0,AV+D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085300,0,0
3,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085400,2,1
6,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085500,6,0
4,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085600,0,4
5,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085700,0,5
2,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085800,1,1
3,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090100,0,3
9,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090200,4,5
15,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090300,4,11
11,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090400,1,10
1,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090500,0,1
0,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090600,0,0
0,D+AP,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090700,0,0
0,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093300,0,0
0,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093400,0,0
10,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093500,8,2
9,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093600,6,3
5,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093700,2,3
1,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_093800,1,0
