Fichier Audio,Date,Heure (UTC),T,AV,AV+D,D,D+AP,AP,AP+AV,F,SSF,NSP,CHAS,SOCI,DEPL,SONAR,SIGNAL
11072020/SCW1807_20200711_114000.wav,11/07/2020,11:40,0,0,0,1,0,0,0,0,0,1,1,0,0,0,DOL7
11072020/SCW1807_20200711_114100.wav,11/07/2020,11:41,0,0,0,1,0,0,0,0,0,1,1,0,0,0,DOL7
11072020/SCW1807_20200711_114200.wav,11/07/2020,11:42,0,0,0,1,0,0,0,0,0,1,1,0,0,0,DOL7
11072020/SCW1807_20200711_114300.wav,11/07/2020,11:43,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL7
11072020/SCW1807_20200711_114400.wav,11/07/2020,11:44,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL7
11072020/SCW1807_20200711_114500.wav,11/07/2020,11:45,0,0,0,0,0,1,0,0,0,1,0,0,1,0,DOL7
11072020/SCW1807_20200711_114900.wav,11/07/2020,11:49,0,0,0,1,0,0,0,0,0,1,1,0,0,0,DOL7
11072020/SCW1807_20200711_115000.wav,11/07/2020,11:50,0,0,0,1,0,0,0,0,0,1,1,0,0,0,DOL7
11072020/SCW1807_20200711_115100.wav,11/07/2020,11:51,0,0,0,1,0,0,0,0,0,1,1,0,0,0,DOL7
11072020/SCW1807_20200711_115200.wav,11/07/2020,11:52,0,0,0,0,0,1,0,0,0,1,1,0,0,0,DOL7
11072020/SCW1807_20200711_115600.wav,11/07/2020,11:56,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL7
11072020/SCW1807_20200711_115700.wav,11/07/2020,11:57,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL7
11072020/SCW1807_20200711_115800.wav,11/07/2020,11:58,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL7
11072020/SCW1807_20200711_115900.wav,11/07/2020,11:59,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL7
11072020/SCW1807_20200711_123400.wav,11/07/2020,12:34,0,1,0,0,0,0,0,0,0,1,0,0,1,0,DOL4
11072020/SCW1807_20200711_123500.wav,11/07/2020,12:35,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL4
11072020/SCW1807_20200711_123600.wav,11/07/2020,12:36,0,0,0,0,1,0,0,0,0,1,0,0,1,0,DOL4
11072020/SCW1807_20200711_131500.wav,11/07/2020,13:15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
11072020/SCW1807_20200711_131600.wav,11/07/2020,13:16,0,0,1,0,0,0,0,0,0,1,0,0,1,0,DOL3
11072020/SCW1807_20200711_131700.wav,11/07/2020,13:17,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL3
11072020/SCW1807_20200711_131800.wav,11/07/2020,13:18,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL3
11072020/SCW1807_20200711_131900.wav,11/07/2020,13:19,0,0,0,0,1,0,0,0,0,1,0,0,1,0,DOL3
11072020/SCW1807_20200711_132000.wav,11/07/2020,13:20,0,0,1,0,0,0,0,0,0,1,0,0,1,0,DOL3
11072020/SCW1807_20200711_132100.wav,11/07/2020,13:21,0,0,0,0,1,0,0,0,0,1,0,0,1,0,DOL3
11072020/SCW1807_20200711_132200.wav,11/07/2020,13:22,0,0,0,0,0,1,0,0,0,1,0,0,1,0,DOL3
11072020/SCW1807_20200711_132300.wav,11/07/2020,13:23,0,0,0,0,0,1,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_090300.wav,12/07/2020,9:3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,DOL4
12072020/SCW1807_20200712_090400.wav,12/07/2020,9:4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,DOL4
12072020/SCW1807_20200712_090500.wav,12/07/2020,9:5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,DOL4
12072020/SCW1807_20200712_090600.wav,12/07/2020,9:6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL4
12072020/SCW1807_20200712_090700.wav,12/07/2020,9:7,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL4
12072020/SCW1807_20200712_090800.wav,12/07/2020,9:8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL4
12072020/SCW1807_20200712_090900.wav,12/07/2020,9:9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL4
12072020/SCW1807_20200712_091000.wav,12/07/2020,9:10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,DOL4
12072020/SCW1807_20200712_093900.wav,12/07/2020,9:39,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_094000.wav,12/07/2020,9:40,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
